"","x"
"1","ENSBTAG00000017363"
"2","ENSBTAG00000016169"
"3","ENSBTAG00000015591"
"4","ENSBTAG00000013303"
"5","ENSBTAG00000030425"
"6","ENSBTAG00000006599"
"7","ENSBTAG00000012180"
"8","ENSBTAG00000013320"
"9","ENSBTAG00000007390"
"10","ENSBTAG00000009495"
"11","ENSBTAG00000018082"
"12","ENSBTAG00000010667"
"13","ENSBTAG00000039688"
"14","ENSBTAG00000015618"
"15","ENSBTAG00000005448"
"16","ENSBTAG00000011765"
"17","ENSBTAG00000009047"
"18","ENSBTAG00000007952"
"19","ENSBTAG00000013745"
"20","ENSBTAG00000015209"
"21","ENSBTAG00000011982"
"22","ENSBTAG00000012848"
"23","ENSBTAG00000032613"
"24","ENSBTAG00000045785"
"25","ENSBTAG00000004552"
"26","ENSBTAG00000033304"
"27","ENSBTAG00000012046"
"28","ENSBTAG00000006326"
"29","ENSBTAG00000019915"
"30","ENSBTAG00000001592"
"31","ENSBTAG00000001152"
"32","ENSBTAG00000047827"
"33","ENSBTAG00000008739"
"34","ENSBTAG00000046307"
"35","ENSBTAG00000003323"
"36","ENSBTAG00000026156"
"37","ENSBTAG00000015059"
"38","ENSBTAG00000001105"
"39","ENSBTAG00000008654"
"40","ENSBTAG00000008635"
"41","ENSBTAG00000000604"
"42","ENSBTAG00000007196"
"43","ENSBTAG00000036016"
"44","ENSBTAG00000016819"
"45","ENSBTAG00000046375"
"46","ENSBTAG00000007430"
"47","ENSBTAG00000024958"
"48","ENSBTAG00000015290"
"49","ENSBTAG00000003696"
"50","ENSBTAG00000018240"
"51","ENSBTAG00000002779"
"52","ENSBTAG00000001824"
"53","ENSBTAG00000003458"
"54","ENSBTAG00000016658"
"55","ENSBTAG00000017819"
"56","ENSBTAG00000021999"
"57","ENSBTAG00000000697"
"58","ENSBTAG00000015318"
"59","ENSBTAG00000048906"
"60","ENSBTAG00000000898"
"61","ENSBTAG00000011839"
"62","ENSBTAG00000020261"
"63","ENSBTAG00000039446"
"64","ENSBTAG00000002770"
"65","ENSBTAG00000021013"
"66","ENSBTAG00000012412"
"67","ENSBTAG00000004225"
"68","ENSBTAG00000000163"
"69","ENSBTAG00000006307"
"70","ENSBTAG00000000981"
"71","ENSBTAG00000014187"
"72","ENSBTAG00000015541"
"73","ENSBTAG00000003923"
"74","ENSBTAG00000011562"
"75","ENSBTAG00000040078"
"76","ENSBTAG00000001801"
"77","ENSBTAG00000010069"
"78","ENSBTAG00000004305"
"79","ENSBTAG00000013099"
"80","ENSBTAG00000010809"
"81","ENSBTAG00000012755"
"82","ENSBTAG00000018823"
"83","ENSBTAG00000004344"
"84","ENSBTAG00000006951"
"85","ENSBTAG00000048257"
"86","ENSBTAG00000034918"
"87","ENSBTAG00000006828"
"88","ENSBTAG00000014439"
"89","ENSBTAG00000008497"
"90","ENSBTAG00000013855"
"91","ENSBTAG00000013982"
"92","ENSBTAG00000005504"
"93","ENSBTAG00000010180"
"94","ENSBTAG00000008575"
"95","ENSBTAG00000053443"
"96","ENSBTAG00000016194"
"97","ENSBTAG00000046900"
"98","ENSBTAG00000011237"
"99","ENSBTAG00000009475"
"100","ENSBTAG00000049993"
"101","ENSBTAG00000040190"
"102","ENSBTAG00000014558"
"103","ENSBTAG00000006082"
"104","ENSBTAG00000002566"
"105","ENSBTAG00000019940"
"106","ENSBTAG00000013792"
"107","ENSBTAG00000018517"
"108","ENSBTAG00000004034"
"109","ENSBTAG00000020676"
"110","ENSBTAG00000001294"
"111","ENSBTAG00000002104"
"112","ENSBTAG00000015016"
"113","ENSBTAG00000017616"
"114","ENSBTAG00000010932"
"115","ENSBTAG00000009526"
"116","ENSBTAG00000010644"
"117","ENSBTAG00000015267"
"118","ENSBTAG00000010991"
"119","ENSBTAG00000013755"
"120","ENSBTAG00000013235"
"121","ENSBTAG00000006160"
"122","ENSBTAG00000004879"
"123","ENSBTAG00000020018"
"124","ENSBTAG00000049478"
"125","ENSBTAG00000011786"
"126","ENSBTAG00000030973"
"127","ENSBTAG00000003155"
"128","ENSBTAG00000001666"
"129","ENSBTAG00000017951"
"130","ENSBTAG00000016401"
"131","ENSBTAG00000016254"
"132","ENSBTAG00000008756"
"133","ENSBTAG00000033545"
"134","ENSBTAG00000049223"
"135","ENSBTAG00000048486"
"136","ENSBTAG00000010622"
"137","ENSBTAG00000008462"
"138","ENSBTAG00000039028"
"139","ENSBTAG00000039499"
"140","ENSBTAG00000000507"
"141","ENSBTAG00000000786"
"142","ENSBTAG00000008197"
"143","ENSBTAG00000020773"
"144","ENSBTAG00000049591"
"145","ENSBTAG00000005431"
"146","ENSBTAG00000011274"
"147","ENSBTAG00000005432"
"148","ENSBTAG00000052352"
"149","ENSBTAG00000044208"
"150","ENSBTAG00000017450"
"151","ENSBTAG00000031509"
"152","ENSBTAG00000046333"
"153","ENSBTAG00000009080"
"154","ENSBTAG00000009960"
"155","ENSBTAG00000004237"
"156","ENSBTAG00000014315"
"157","ENSBTAG00000007039"
"158","ENSBTAG00000051316"
"159","ENSBTAG00000011889"
"160","ENSBTAG00000012039"
"161","ENSBTAG00000018497"
"162","ENSBTAG00000018838"
"163","ENSBTAG00000007755"
"164","ENSBTAG00000003403"
"165","ENSBTAG00000017391"
"166","ENSBTAG00000051191"
"167","ENSBTAG00000021955"
"168","ENSBTAG00000017298"
"169","ENSBTAG00000013537"
"170","ENSBTAG00000040067"
"171","ENSBTAG00000005333"
"172","ENSBTAG00000014458"
"173","ENSBTAG00000054738"
"174","ENSBTAG00000004223"
