"","x"
"1","AGK"
"2","LOC112442136"
"3","PSMB5"
"4","GXYLT1"
"5","HCLS1"
"6","INHBE"
"7","BMF"
"8","HOOK1"
"9","CALHM1"
"10","BCAM"
"11","LOC509911"
"12","APP"
"13","FAM102B"
"14","RSRC1"
"15",NA
"16","C29H11orf86"
"17","RGL1"
"18","SMPD1"
"19","NKAP"
"20","AURKAIP1"
"21","MIR484"
"22","HMG20B"
"23","ASIP"
"24","TOM1"
"25","ELK3"
"26","TCIM"
"27","FUNDC1"
"28","BEST1"
"29","CCR8"
"30","CDAN1"
"31","RPL35A"
"32","NUTM1"
"33","ASPSCR1"
"34","CCNT2"
"35","ARMC4"
"36","EVA1B"
"37","SLC2A2"
"38","LOC784385"
"39","TRPM7"
"40","PRRC1"
"41","SCLY"
"42","DBF4"
"43","JUNB"
"44","GRINA"
"45","FAHD1"
"46","GCH1"
"47","ADAMTSL2"
"48","ADORA1"
"49","GRN"
"50","SMC1B"
"51","BTG3"
"52","FEM1B"
"53","TXN2"
"54","ARHGEF17"
"55","TCF24"
"56","PARP1"
"57","ACTN4"
"58","C23H6orf89"
"59","LOC101906045"
"60","RPS9"
"61","CLIP1"
"62","MIR2285AB"
"63","VAPA"
"64","EFCAB2"
"65","TUBB4A"
"66","LIN28B"
"67","NGDN"
"68","RGS16"
"69","DDX49"
"70","AURKC"
"71","HSPB11"
"72","RPL7"
"73","ACSS2"
"74","RAD54B"
"75","CPB1"
"76","PRSS12"
"77","EGR1"
"78","CTU2"
"79","CDKN1A"
"80","KCNRG"
"81","FCER2"
"82","FRAT2"
"83","ACSL1"
"84","CTDNEP1"
"85","TRMT11"
"86","MAP3K9"
"87","LOC112441686"
"88","ABHD6"
"89","POU2F1"
"90","MIRLET7E"
"91","DPY30"
"92","ELP6"
"93","URB2"
"94","MEGF6"
"95","RUM1"
"96","PFN3"
"97","ZFP62"
"98","GOLM2"
"99","PLXDC2"
"100","AMZ2"
"101","STXBP3"
"102","DDX21"
"103","FGF22"
"104","ASPHD2"
"105","SGCG"
"106","ENPP5"
"107","VLDLR"
"108","ZBTB8A"
"109","CDC40"
"110","ICE1"
"111","ANXA7"
"112","PPIL6"
"113","ACADL"
"114","GLB1"
"115","EXOSC3"
"116","KCNV2"
"117","AP2S1"
"118","VARS1"
"119","IGIP"
"120","POPDC2"
"121","ZBTB38"
"122","OSBPL3"
"123","PADI1"
"124","LOC112446493"
"125","RRN3"
"126","SH3D19"
"127","CMTM4"
"128","ABRAXAS1"
"129","SBF1"
"130","LOC509155"
"131","MFGE8"
"132","TPCN1"
"133","ZNF304"
"134","SRP68"
"135","C17H12orf43"
"136","URAD"
"137","MLXIP"
"138","TATDN1"
"139","LOC112441470"
"140","ZNF207"
"141","SMIM19"
"142","PAXIP1"
"143","RAB1B"
"144","FAM207A"
"145","LOC101903586"
"146","ACVR2A"
"147","LOC617396"
"148","CLDN15"
"149","XRCC5"
"150","PDZD7"
"151","PFAS"
"152","PGAP2"
"153","DNAJC7"
"154","FLOT1"
"155","ZNF697"
"156","PBLD"
"157","ACMSD"
"158","CD180"
"159","MOCS2"
"160","TMEM156"
"161","NUSAP1"
"162","LOC504858"
"163","TFIP11"
"164","DNAAF5"
"165","RNF216"
"166",NA
"167","TFRC"
"168","EGR2"
"169","FER1L6"
"170","KRT85"
"171","LOC100299712"
"172","MROH1"
"173","MBD5"
"174","PHKB"
