"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_name","go","ontology","Overlap"
"1","ENSBTAG00000017363",2331.259591,1.568820579,0.071909749,14.86336119,5.7e-50,1.02e-45,"AGK","acylglycerol kinase",NA,NA,FALSE
"2","ENSBTAG00000016169",2444.147743,1.768472973,0.089158828,14.22711586,6.22e-46,5.56e-42,"LOC112442136","U6 spliceosomal RNA",NA,NA,FALSE
"3","ENSBTAG00000015591",5392.414132,1.308851233,0.060733796,13.31797601,1.82e-40,1.09e-36,"PSMB5","proteasome 20S subunit beta 5","GO:0004298","BP",FALSE
"4","ENSBTAG00000013303",8085.920487,1.31221952,0.06325131,12.8411493,9.64e-38,4.31e-34,"GXYLT1","glucoside xylosyltransferase 1",NA,NA,FALSE
"5","ENSBTAG00000030425",1850.586861,1.656579953,0.091127446,12.69189477,6.56e-37,2.35e-33,"HCLS1","hematopoietic cell-specific Lyn substrate 1",NA,NA,FALSE
"6","ENSBTAG00000006599",329.6803733,2.174900209,0.133487913,12.54720498,4.12e-36,1.23e-32,"INHBE","inhibin subunit beta E",NA,NA,TRUE
"7","ENSBTAG00000012180",243.4791757,2.348321829,0.158491806,11.66193938,1.99e-31,5.1e-28,"BMF","Bcl2 modifying factor",NA,NA,FALSE
"8","ENSBTAG00000013320",130.4270184,3.339227956,0.253650987,11.19344336,4.39e-29,9.82e-26,"HOOK1","hook microtubule tethering protein 1",NA,NA,FALSE
"9","ENSBTAG00000007390",1810.96273,1.300845747,0.071784389,11.15626611,6.67e-29,1.33e-25,"CALHM1","calcium homeostasis modulator 1",NA,NA,FALSE
"10","ENSBTAG00000009495",1533.242164,1.377755208,0.079300331,11.06874582,1.78e-28,3.18e-25,"BCAM","basal cell adhesion molecule",NA,NA,TRUE
"11","ENSBTAG00000018082",702.1055113,1.561158813,0.100029457,10.60846318,2.72e-26,4.43e-23,"LOC509911","monocarboxylate transporter 1",NA,NA,FALSE
"12","ENSBTAG00000010667",235.2513126,2.073423142,0.151329639,10.39732303,2.55e-25,3.8e-22,"APP","amyloid beta precursor protein","GO:0005576","BP",FALSE
"13","ENSBTAG00000039688",1071.882041,1.353712439,0.083477861,10.22681263,1.5e-24,2.07e-21,"FAM102B","family with sequence similarity 102 member B",NA,NA,FALSE
"14","ENSBTAG00000015618",774.3816518,1.402466946,0.093096466,9.693890446,3.2e-22,4.09e-19,"RSRC1","arginine and serine rich coiled-coil 1","GO:0000398","BP",FALSE
"15","ENSBTAG00000005448",98.15624815,3.069578275,0.27112769,9.4773731,2.61e-21,3.11e-18,NA,NA,NA,NA,TRUE
"16","ENSBTAG00000011765",2350.777499,1.20796957,0.075923112,9.324822812,1.11e-20,1.24e-17,"C29H11orf86","chromosome 29 C11orf86 homolog",NA,NA,FALSE
"17","ENSBTAG00000009047",219.9422203,1.835200884,0.149402212,8.936955268,4e-19,4.21e-16,"RGL1","ral guanine nucleotide dissociation stimulator like 1",NA,NA,FALSE
"18","ENSBTAG00000007952",1351.28671,1.183300166,0.076590059,8.921525556,4.6e-19,4.57e-16,"SMPD1","sphingomyelin phosphodiesterase 1","GO:0005615","BP",FALSE
"19","ENSBTAG00000013745",14073.07697,1.04328283,0.061462792,8.839214948,9.64e-19,9.08e-16,"NKAP","NFKB activating protein",NA,NA,FALSE
"20","ENSBTAG00000015209",516.4011124,1.443213854,0.108187463,8.718328624,2.82e-18,2.53e-15,"AURKAIP1","aurora kinase A interacting protein 1",NA,NA,FALSE
"21","ENSBTAG00000011982",693.4225623,-1.406807252,0.107667851,-8.422265708,3.69e-17,3.15e-14,"MIR484","microRNA mir-484",NA,NA,FALSE
"22","ENSBTAG00000012848",316.8575487,1.80233005,0.155247617,8.388728097,4.91e-17,4e-14,"HMG20B","high mobility group 20B","GO:0003677","BP",FALSE
"23","ENSBTAG00000032613",241.1826615,1.674426934,0.141637658,8.291770367,1.12e-16,8.68e-14,"ASIP","agouti signaling protein","GO:0006091","BP",FALSE
"24","ENSBTAG00000045785",2477.058532,1.090093359,0.072082962,8.186308442,2.69e-16,2.01e-13,"TOM1","target of myb1 membrane trafficking protein",NA,NA,FALSE
"25","ENSBTAG00000004552",2304.874439,1.143101633,0.078844103,8.156623146,3.45e-16,2.47e-13,"ELK3","ETS transcription factor ELK3",NA,NA,FALSE
"26","ENSBTAG00000033304",192.531176,1.787458546,0.158334959,8.131233664,4.25e-16,2.92e-13,"TCIM","transcriptional and immune response regulator",NA,NA,TRUE
"27","ENSBTAG00000012046",3499.519243,1.153264504,0.080653417,8.099650661,5.51e-16,3.65e-13,"FUNDC1","FUN14 domain containing 1","GO:0000422","BP",FALSE
"28","ENSBTAG00000006326",246.2240525,1.598709615,0.136709087,8.03684405,9.22e-16,5.89e-13,"BEST1","bestrophin 1",NA,NA,FALSE
"29","ENSBTAG00000019915",1030.26314,1.157357951,0.083459125,7.876406014,3.37e-15,2.08e-12,"CCR8","C-C motif chemokine receptor 8",NA,NA,FALSE
"30","ENSBTAG00000001592",7664.576558,0.954056273,0.058138554,7.809899619,5.72e-15,3.41e-12,"CDAN1","codanin 1",NA,NA,FALSE
"31","ENSBTAG00000001152",108.4883457,2.142332986,0.212139257,7.741768365,9.8e-15,5.66e-12,"RPL35A","ribosomal protein L35a","GO:0000049","MF",FALSE
"32","ENSBTAG00000047827",497.4974385,1.30687909,0.104967859,7.686915771,1.51e-14,8.43e-12,"NUTM1","NUT midline carcinoma family member 1",NA,NA,FALSE
"33","ENSBTAG00000008739",166.9718966,2.126543253,0.21406641,7.598311429,3e-14,1.63e-11,"ASPSCR1","ASPSCR1 tether for SLC2A4, UBX domain containing",NA,NA,FALSE
"34","ENSBTAG00000046307",4451.931331,0.975452365,0.063623501,7.4729048,7.84e-14,4.13e-11,"CCNT2","cyclin T2",NA,NA,FALSE
"35","ENSBTAG00000003323",2207.023748,-1.005859623,0.068789703,-7.353711365,1.93e-13,9.85e-11,"ARMC4","armadillo repeat containing 4",NA,NA,FALSE
"36","ENSBTAG00000026156",1046.161344,-1.150147794,0.089599416,-7.256161039,3.98e-13,1.94e-10,"EVA1B","eva-1 homolog B",NA,NA,FALSE
"37","ENSBTAG00000015059",32.77631882,3.885918936,0.466673817,7.255429404,4e-13,1.94e-10,"SLC2A2","solute carrier family 2 member 2","GO:0005353","BP",FALSE
"38","ENSBTAG00000001105",2967.046257,1.003806781,0.06984523,7.213188067,5.47e-13,2.57e-10,"LOC784385","nucleophosmin",NA,NA,FALSE
"39","ENSBTAG00000008654",386.5971065,1.28232061,0.109492366,7.144978559,9e-13,4.13e-10,"TRPM7","transient receptor potential cation channel subfamily M member 7",NA,NA,FALSE
"40","ENSBTAG00000008635",438.515385,1.391574289,0.12624841,7.062063504,1.64e-12,7.34e-10,"PRRC1","proline rich coiled-coil 1",NA,NA,FALSE
"41","ENSBTAG00000000604",89.21803168,2.536798154,0.288745981,7.053944591,1.74e-12,7.59e-10,"SCLY","selenocysteine lyase","GO:0005829","CC",FALSE
"42","ENSBTAG00000007196",1572.709365,-1.073690356,0.083341012,-6.883649949,5.83e-12,2.48e-09,"DBF4","DBF4 zinc finger",NA,NA,FALSE
