"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_name","go","ontology"
"ENSBTAG00000013320",130.42701835598,3.33922795617385,0.253650987049107,9.2222308432057,2.90982202867771e-20,4.99761933425396e-16,"HOOK1","hook microtubule tethering protein 1",NA,NA
"ENSBTAG00000006599",329.680373260546,2.17490020887593,0.133487913142995,8.80154750503407,1.34942299266182e-18,1.15881699494834e-14,NA,NA,NA,NA
"ENSBTAG00000016169",2444.14774341201,1.76847297344234,0.0891588278190215,8.61914621625829,6.74551747370014e-18,3.86180875369333e-14,"LOC112442136","U6 spliceosomal RNA",NA,NA
"ENSBTAG00000012180",243.479175711871,2.34832182861973,0.158491805609858,8.50720214481465,1.78180726526074e-17,7.65063494521329e-14,NA,NA,NA,NA
"ENSBTAG00000017363",2331.25959126876,1.56882057944393,0.0719097494869965,7.91020109932086,2.56973448379775e-15,8.82703795184527e-12,"AGK","acylglycerol kinase",NA,NA
"ENSBTAG00000005448",98.1562481543098,3.06957827537684,0.271127689944033,7.63322357743707,2.28955311352858e-14,6.55384578747556e-11,NA,NA,NA,NA
"ENSBTAG00000030425",1850.58686068169,1.65657995321737,0.0911274458687632,7.20507358631496,5.80125119342938e-13,1.42337841781642e-09,"HCLS1","hematopoietic cell-specific Lyn substrate 1",NA,NA
"ENSBTAG00000010667",235.251312611044,2.07342314239683,0.151329639187641,7.09327761672542,1.30972345755168e-12,2.81181254793126e-09,"APP","amyloid beta precursor protein","GO:0005576","BP"
"ENSBTAG00000015059",32.7763188237846,3.88591893647446,0.466673817321773,6.18401725007129,6.24905346091285e-10,1.1925277021242e-06,"SLC2A2","solute carrier family 2 member 2","GO:0005353","BP"
"ENSBTAG00000018082",702.105511269665,1.5611588132152,0.100029457156538,5.60993560463928,2.02401914838943e-08,3.47625288735884e-05,"LOC509911","monocarboxylate transporter 1",NA,NA
"ENSBTAG00000009047",219.94222031521,1.83520088371913,0.149402211783609,5.59028459986133,2.26697742826424e-08,3.53957612094894e-05,"RGL1","ral guanine nucleotide dissociation stimulator like 1",NA,NA
"ENSBTAG00000046375",62.3677578720809,2.92134692755694,0.356124402093236,5.39515662578471,6.84638040295829e-08,9.58031552308709e-05,"FAHD1","fumarylacetoacetate hydrolase domain containing 1","GO:0005654","CC"
"ENSBTAG00000001152",108.488345675882,2.14233298564478,0.212139256597613,5.38482600517244,7.25147608734394e-08,9.58031552308709e-05,"RPL35A","ribosomal protein L35a","GO:0000049","MF"
"ENSBTAG00000000604",89.2180316820945,2.53679815392502,0.288745981441614,5.32231876008212,1.02452840130491e-07,0.000125687680660084,"SCLY","selenocysteine lyase","GO:0005829","CC"
"ENSBTAG00000008739",166.971896570878,2.12654325342052,0.214066410487293,5.2625876748066,1.42041890664257e-07,0.000162637964810574,"ASPSCR1","ASPSCR1 tether for SLC2A4, UBX domain containing",NA,NA
"ENSBTAG00000012848",316.857548706225,1.80233004958414,0.155247617347215,5.16806675228842,2.36527837842069e-07,0.000253897850933596,"HMG20B","high mobility group 20B","GO:0003677","BP"
"ENSBTAG00000015591",5392.41413218511,1.30885123329009,0.0607337956213968,5.08532737218362,3.66992498072244e-07,0.000370770362022988,"PSMB5","proteasome 20S subunit beta 5","GO:0004298","BP"
"ENSBTAG00000015290",49.8715422784578,2.60059140292753,0.316757224092394,5.05305414111302,4.34800579245302e-07,0.000414872219363225,"ADORA1","adenosine A1 receptor","GO:0001609","BP"
"ENSBTAG00000033304",192.531176001194,1.78745854571229,0.158334958625061,4.9733713423136,6.57984481039122e-07,0.000594783340097206,NA,NA,NA,NA
"ENSBTAG00000013303",8085.92048741539,1.31221952000926,0.0632513103959187,4.93617472989781,7.96697355753915e-07,0.000684163854253675,"GXYLT1","glucoside xylosyltransferase 1",NA,NA
"ENSBTAG00000036016",123.383082701725,2.14076904821028,0.238859938555873,4.77589107284912,1.78913224496835e-06,0.00143396364085441,"JUNB","JunB proto-oncogene, AP-1 transcription factor subunit","GO:0001228","BP"
"ENSBTAG00000009495",1533.2421638914,1.37775520843384,0.0793003311116412,4.76360190605041,1.90167502407749e-06,0.00143396364085441,NA,NA,NA,NA
"ENSBTAG00000032613",241.182661544007,1.67442693355566,0.141637657777915,4.76163574106221,1.92030065441929e-06,0.00143396364085441,"ASIP","agouti signaling protein","GO:0006091","BP"
"ENSBTAG00000020261",45.6091255400612,2.39121733826239,0.309019667105111,4.50203493937873,6.73059134603999e-06,0.00481657943200987,"MIR2285AB","microRNA mir-2285ab",NA,NA
"ENSBTAG00000006326",246.224052541236,1.59870961484999,0.136709087293099,4.3794427035152,1.18983199303989e-05,0.00817414579218403,"BEST1","bestrophin 1",NA,NA
"ENSBTAG00000015618",774.381651756918,1.40246694582381,0.0930964663614026,4.32311731641265,1.53839874035579e-05,0.0101623070636964,"RSRC1","arginine and serine rich coiled-coil 1","GO:0000398","BP"
"ENSBTAG00000039446",79.02987179745,2.14008104776994,0.268214016252189,4.25063933533576,2.13161179541089e-05,0.0135594194763637,"VAPA","VAMP associated protein A","GO:0005783","BP"
"ENSBTAG00000039688",1071.88204096523,1.35371243919592,0.0834778605978793,4.23720057824416,2.26323938804508e-05,0.0138825487463122,"FAM102B","family with sequence similarity 102 member B",NA,NA
"ENSBTAG00000007390",1810.96272999106,1.30084574653836,0.0717843890406477,4.19096339133014,2.77772480853561e-05,0.0164508357195169,"CALHM1","calcium homeostasis modulator 1",NA,NA
"ENSBTAG00000015209",516.401112419761,1.44321385368328,0.108187462801952,4.09672102667414,4.19043384609701e-05,0.0239902337689054,"AURKAIP1","aurora kinase A interacting protein 1",NA,NA
"ENSBTAG00000039499",11.6516124453416,6.30497393879209,1.3015735834618,4.07581561749466,4.58533420532821e-05,0.0254042306375845,"LOC112441470","steroid 17-alpha-hydroxylase/17,20 lyase",NA,NA
"ENSBTAG00000018240",142.945389624506,-1.72350011809676,0.184962541536608,-3.91160346352378,9.16853626070776e-05,0.0492092532117674,"SMC1B","structural maintenance of chromosomes 1B",NA,NA
"ENSBTAG00000011982",693.422562257094,-1.40680725161902,0.107667851270486,-3.7783539544876,0.000157868391165938,0.0821633217659087,"MIR484","microRNA mir-484",NA,NA
"ENSBTAG00000053443",32.0014016906559,2.40910729569876,0.377393044691404,3.73379243608211,0.000188617956907345,0.0952798061730488,NA,NA,NA,NA
"ENSBTAG00000046900",39.3203103720877,2.32007872169932,0.361038527626416,3.65633753931456,0.000255844428224672,0.124176462638011,"ZFP62","ZFP62 zinc finger protein",NA,NA
"ENSBTAG00000033545",17.9338911017546,2.98218587732537,0.542778457009171,3.65192437490546,0.000260282541773996,0.124176462638011,"ZNF304","zinc finger protein 304",NA,NA
"ENSBTAG00000044208",11.3845581833262,3.67305825906728,0.746187494438243,3.58228766763193,0.000340598430214904,0.153988066701842,"XRCC5","X-ray repair cross complementing 5",NA,NA
"ENSBTAG00000034918",52.109885831937,2.02459030772023,0.286021945194809,3.58220872535633,0.000340701399398545,0.153988066701842,"MAP3K9","mitogen-activated protein kinase kinase kinase 9",NA,NA
"ENSBTAG00000020676",28.4300442687852,2.37601182978053,0.388056263496066,3.54590805308436,0.000391262701109231,0.172306074142334,"CDC40","cell division cycle 40",NA,NA
"ENSBTAG00000049591",18.721352268037,-3.00173401935952,0.571280421298834,-3.50394297569043,0.000458423511489103,0.194094571525835,"FAM207A","family with sequence similarity 207 member A",NA,NA
"ENSBTAG00000014315",11.9481689116388,3.78199283509095,0.794605206685155,3.50110068709033,0.000463340752987437,0.194094571525835,NA,NA,NA,NA
"ENSBTAG00000019940",34.6396645139955,2.24793479870091,0.3587507359485,3.47855676282167,0.000504121658370895,0.206149749583812,"SGCG","sarcoglycan gamma","GO:0005737","CC"
