,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,gene_name,go,ontology
ENSBTAG00000013320,130.4270184,3.339227956,0.253650987,9.222230843,2.91E-20,5.00E-16,HOOK1,hook microtubule tethering protein 1,NA,NA
ENSBTAG00000006599,329.6803733,2.174900209,0.133487913,8.801547505,1.35E-18,1.16E-14,INHBE,inhibin subunit beta E,NA,NA
ENSBTAG00000016169,2444.147743,1.768472973,0.089158828,8.619146216,6.75E-18,3.86E-14,LOC112442136,U6 spliceosomal RNA,NA,NA
ENSBTAG00000012180,243.4791757,2.348321829,0.158491806,8.507202145,1.78E-17,7.65E-14,BMF,Bcl2 modifying factor,NA,NA
ENSBTAG00000017363,2331.259591,1.568820579,0.071909749,7.910201099,2.57E-15,8.83E-12,AGK,acylglycerol kinase,NA,NA
ENSBTAG00000005448,98.15624815,3.069578275,0.27112769,7.633223577,2.29E-14,6.55E-11,NA,NA,NA,NA
ENSBTAG00000030425,1850.586861,1.656579953,0.091127446,7.205073586,5.80E-13,1.42E-09,HCLS1,hematopoietic cell-specific Lyn substrate 1,NA,NA
ENSBTAG00000010667,235.2513126,2.073423142,0.151329639,7.093277617,1.31E-12,2.81E-09,APP,amyloid beta precursor protein,GO:0005576,BP
ENSBTAG00000015059,32.77631882,3.885918936,0.466673817,6.18401725,6.25E-10,1.19E-06,SLC2A2,solute carrier family 2 member 2,GO:0005353,BP
ENSBTAG00000018082,702.1055113,1.561158813,0.100029457,5.609935605,2.02E-08,3.48E-05,LOC509911,monocarboxylate transporter 1,NA,NA
ENSBTAG00000009047,219.9422203,1.835200884,0.149402212,5.5902846,2.27E-08,3.54E-05,RGL1,ral guanine nucleotide dissociation stimulator like 1,NA,NA
ENSBTAG00000046375,62.36775787,2.921346928,0.356124402,5.395156626,6.85E-08,9.58E-05,FAHD1,fumarylacetoacetate hydrolase domain containing 1,GO:0005654,CC
ENSBTAG00000001152,108.4883457,2.142332986,0.212139257,5.384826005,7.25E-08,9.58E-05,RPL35A,ribosomal protein L35a,GO:0000049,MF
ENSBTAG00000000604,89.21803168,2.536798154,0.288745981,5.32231876,1.02E-07,0.000125688,SCLY,selenocysteine lyase,GO:0005829,CC
ENSBTAG00000008739,166.9718966,2.126543253,0.21406641,5.262587675,1.42E-07,0.000162638,ASPSCR1,"ASPSCR1 tether for SLC2A4, UBX domain containing",NA,NA
ENSBTAG00000012848,316.8575487,1.80233005,0.155247617,5.168066752,2.37E-07,0.000253898,HMG20B,high mobility group 20B,GO:0003677,BP
ENSBTAG00000015591,5392.414132,1.308851233,0.060733796,5.085327372,3.67E-07,0.00037077,PSMB5,proteasome 20S subunit beta 5,GO:0004298,BP
ENSBTAG00000015290,49.87154228,2.600591403,0.316757224,5.053054141,4.35E-07,0.000414872,ADORA1,adenosine A1 receptor,GO:0001609,BP
ENSBTAG00000033304,192.531176,1.787458546,0.158334959,4.973371342,6.58E-07,0.000594783,TCIM,transcriptional and immune response regulator,NA,NA
ENSBTAG00000013303,8085.920487,1.31221952,0.06325131,4.93617473,7.97E-07,0.000684164,GXYLT1,glucoside xylosyltransferase 1,NA,NA
ENSBTAG00000036016,123.3830827,2.140769048,0.238859939,4.775891073,1.79E-06,0.001433964,JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit",GO:0001228,BP
ENSBTAG00000009495,1533.242164,1.377755208,0.079300331,4.763601906,1.90E-06,0.001433964,BCAM,basal cell adhesion molecule,NA,NA
ENSBTAG00000032613,241.1826615,1.674426934,0.141637658,4.761635741,1.92E-06,0.001433964,ASIP,agouti signaling protein,GO:0006091,BP
ENSBTAG00000020261,45.60912554,2.391217338,0.309019667,4.502034939,6.73E-06,0.004816579,MIR2285AB,microRNA mir-2285ab,NA,NA
ENSBTAG00000006326,246.2240525,1.598709615,0.136709087,4.379442704,1.19E-05,0.008174146,BEST1,bestrophin 1,NA,NA
ENSBTAG00000015618,774.3816518,1.402466946,0.093096466,4.323117316,1.54E-05,0.010162307,RSRC1,arginine and serine rich coiled-coil 1,GO:0000398,BP
ENSBTAG00000039446,79.0298718,2.140081048,0.268214016,4.250639335,2.13E-05,0.013559419,VAPA,VAMP associated protein A,GO:0005783,BP
ENSBTAG00000039688,1071.882041,1.353712439,0.083477861,4.237200578,2.26E-05,0.013882549,FAM102B,family with sequence similarity 102 member B,NA,NA
ENSBTAG00000007390,1810.96273,1.300845747,0.071784389,4.190963391,2.78E-05,0.016450836,CALHM1,calcium homeostasis modulator 1,NA,NA
ENSBTAG00000015209,516.4011124,1.443213854,0.108187463,4.096721027,4.19E-05,0.023990234,AURKAIP1,aurora kinase A interacting protein 1,NA,NA
ENSBTAG00000039499,11.65161245,6.304973939,1.301573583,4.075815617,4.59E-05,0.025404231,LOC112441470,"steroid 17-alpha-hydroxylase/17,20 lyase",NA,NA
ENSBTAG00000018240,142.9453896,-1.723500118,0.184962542,-3.911603464,9.17E-05,0.049209253,SMC1B,structural maintenance of chromosomes 1B,NA,NA
