"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_name","go","ontology"
"ENSBTAG00000049591",21.7066871439883,-3.4250143325374,0.538447644212686,-4.50371425820469,6.6775978126519e-06,0.122093198406527,"TM9SF4","transmembrane 9 superfamily member 4","GO:0001666","BP"
"ENSBTAG00000048609",1.59792664138228,-4.11836143446652,1.66562802818936,-1.87218357381772,0.0611812108128809,1,"SYNE4","spectrin repeat containing nuclear envelope family member 4",NA,NA
"ENSBTAG00000044591",7.47034145694667,2.24920180174423,0.744334769980888,1.67827952169466,0.0932925438688546,1,"SLC25A19","solute carrier family 25 member 19","GO:0005347","BP"
"ENSBTAG00000046622",1.21966232398245,3.72476170044543,1.79517779890951,1.51782274830973,0.129059088759606,1,NA,NA,NA,NA
"ENSBTAG00000017158",1.24206787762423,-3.71397345395939,1.81571704302135,-1.49471167018587,0.134989707252283,1,"SPPL2B","signal peptide peptidase like 2B",NA,NA
"ENSBTAG00000053173",1.20654638254446,3.71308713093137,1.81519041971044,1.49465703513583,0.135003972746213,1,"USP13","ubiquitin specific peptidase 13","GO:0004197","BP"
"ENSBTAG00000030845",1.17653682827449,3.68820530107273,1.80655548474631,1.4880280864721,0.136743486793109,1,"LOC515551","protein DDI1 homolog 2",NA,NA
"ENSBTAG00000009371",1.14673110328535,-3.62939511576649,1.81636870639372,-1.44761088787253,0.147725904414094,1,"SLC6A20","solute carrier family 6 member 20",NA,NA
"ENSBTAG00000052732",1.14673110328535,-3.62939511576649,1.81636870639372,-1.44761088787253,0.147725904414094,1,"SPC25","SPC25 component of NDC80 kinetochore complex","GO:0000777","BP"
"ENSBTAG00000043695",1.81236823805457,3.20109441612366,1.60515764362151,1.37126370414161,0.170292765910532,1,NA,NA,NA,NA
"ENSBTAG00000043555",38.9637066121021,-1.40707316960306,0.306653448910916,-1.32746972534888,0.184353348201475,1,NA,NA,NA,NA
"ENSBTAG00000049465",1.03015023832183,3.48849538111168,1.89718269125085,1.31167936150153,0.189628343200807,1,"DDAH2","dimethylarginine dimethylaminohydrolase 2","GO:0000052","BP"
"ENSBTAG00000055132",3.27798141023537,2.50308406488301,1.1505805723142,1.30637010658003,0.191426726542025,1,"MINK1","misshapen like kinase 1",NA,NA
"ENSBTAG00000050802",2.65977854489898,-2.75753548721482,1.34567669266515,-1.30606073271134,0.191531905132338,1,"PRDM10","PR/SET domain 10",NA,NA
"ENSBTAG00000052062",1.05976588862452,-3.54479665611741,1.96014848836954,-1.29826728496176,0.194195504099304,1,"LOC112449168","U8 small nucleolar RNA",NA,NA
"ENSBTAG00000047526",1.05976588862452,-3.54479665611741,1.96014848836954,-1.29826728496176,0.194195504099304,1,"LOC112448304","small nucleolar RNA SNORA63",NA,NA
"ENSBTAG00000020880",1.83803918456697,-3.13735945374827,1.65449704930664,-1.29184845306554,0.196409631822135,1,"LOC101905668","coiled-coil-helix-coiled-coil-helix domain-containing protein 2 pseudogene",NA,NA
"ENSBTAG00000007306",0.997727850532719,-3.42247190197426,1.89261218106525,-1.27996212124704,0.200558457994579,1,"NUDT16L1","nudix hydrolase 16 like 1",NA,NA
"ENSBTAG00000013585",0.960792859737906,3.41538997828228,1.92427654729412,1.25521977684484,0.209398988096931,1,"NECAP2","NECAP endocytosis associated 2","GO:0005886","BP"
"ENSBTAG00000055042",2.47468401783162,2.76633716832557,1.43162053459931,1.23380262132098,0.217276462414251,1,"TRAPPC12","trafficking protein particle complex 12",NA,NA
"ENSBTAG00000050343",0.954245243202304,-3.37688899500721,1.92830277304756,-1.23263266963553,0.217712842460314,1,"TMEM106C","transmembrane protein 106C","GO:0005789","CC"
"ENSBTAG00000006278",0.954245243202304,-3.37688899500721,1.92830277304756,-1.23263266963553,0.217712842460314,1,"HPSE","heparanase","GO:0005634","BP"
"ENSBTAG00000013665",0.950059463363282,-3.372060505359,1.93006144300876,-1.22900776757719,0.219068893723563,1,"AKR1B1","aldo-keto reductase family 1, member B1 (aldose reductase)","GO:0001523","BP"
"ENSBTAG00000003548",0.958431023041326,-3.3813242506943,1.95328250609521,-1.21913970112535,0.222791173592468,1,"LRRC10B","leucine rich repeat containing 10B",NA,NA
"ENSBTAG00000037348",0.913773202639131,3.29017209458446,1.99012824395489,1.15076608833676,0.249828479508717,1,"USP25","ubiquitin specific peptidase 25",NA,NA
"ENSBTAG00000047179",2.94172562299962,2.36960954477592,1.19562842678242,1.14551437059899,0.251996145982051,1,"NSUN7","NOP2/Sun RNA methyltransferase family member 7",NA,NA
"ENSBTAG00000052759",2.45292303389357,-2.58991660978434,1.39590784131977,-1.13898393770834,0.254709853689233,1,"LOC112444229","U6 spliceosomal RNA",NA,NA
"ENSBTAG00000039437",0.870647706931177,3.23940866102184,1.99255468829371,1.12388817942032,0.26106046657864,1,"ACOT13","acyl-CoA thioesterase 13",NA,NA
"ENSBTAG00000043732",4.29228558148612,2.11246814833713,0.996359344845845,1.11653306017745,0.264194026996944,1,"MGC137036","uncharacterized protein MGC137036",NA,NA
"ENSBTAG00000025379",2.24056049380134,-2.60086817742292,1.43383646105025,-1.11649286436078,0.264211222896838,1,"FURIN","furin, paired basic amino acid cleaving enzyme","GO:0004252","BP"
"ENSBTAG00000042806",0.8922072051105,-3.23395037383143,2.00156723374127,-1.11610059166277,0.264379078937727,1,"HMMR","hyaluronan mediated motility receptor",NA,NA
"ENSBTAG00000037985",0.8922072051105,-3.23395037383143,2.00156723374127,-1.11610059166277,0.264379078937727,1,NA,NA,NA,NA
"ENSBTAG00000051015",4.32012223600298,3.55351936684334,2.32089827891613,1.10022890276598,0.271232400516944,1,"NCKIPSD","NCK interacting protein with SH3 domain",NA,NA
"ENSBTAG00000009876",0.848724597780085,-3.1810029051167,2.00492496928348,-1.08782270585225,0.276673383710478,1,"PRPF38B","pre-mRNA processing factor 38B",NA,NA
"ENSBTAG00000048256",0.848724597780085,-3.1810029051167,2.00492496928348,-1.08782270585225,0.276673383710478,1,"MIR378B","microRNA mir-378b",NA,NA
"ENSBTAG00000022699",0.848724597780085,-3.1810029051167,2.00492496928348,-1.08782270585225,0.276673383710478,1,"GABPB2","GA binding protein transcription factor subunit beta 2",NA,NA
"ENSBTAG00000039522",0.848724597780085,-3.1810029051167,2.00492496928348,-1.08782270585225,0.276673383710478,1,"MTMR7","myotubularin related protein 7",NA,NA
"ENSBTAG00000044769",0.844538817941063,-3.17548145691331,2.00712748776628,-1.08387806463375,0.278418866588266,1,"RPL18A","ribosomal protein L18a","GO:0002181","BP"
"ENSBTAG00000020699",0.844538817941063,-3.17548145691331,2.00712748776628,-1.08387806463375,0.278418866588266,1,"SORD","sorbitol dehydrogenase","GO:0003939","BP"
"ENSBTAG00000009212",0.814406269785239,3.17033346508164,2.02279914283004,1.0729357251186,0.283299955675906,1,"NSD2","nuclear receptor binding SET domain protein 2",NA,NA
"ENSBTAG00000047474",2.27062104489386,-2.50091832668669,1.40366795113895,-1.06928303482944,0.284942152773517,1,"BRME1","break repair meiotic recombinase recruitment factor 1",NA,NA
"ENSBTAG00000054919",2.23335689648972,2.49251839045073,1.40824351715623,1.05984396325479,0.289215592440627,1,"ULBP21","UL16 binding protein 21",NA,NA
"ENSBTAG00000046332",2.1481557898171,-2.48690729729158,1.42578077405393,-1.04287231554108,0.297007433071654,1,"LOC101906363","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3",NA,NA
"ENSBTAG00000040084",2.20712501361376,2.47758251391499,1.41927683350452,1.04108125985999,0.297837836247366,1,"RAB4A","RAB4A, member RAS oncogene family","GO:0003924","BP"
"ENSBTAG00000048778",0.80524199044967,-3.12687348302164,2.04828824101289,-1.03836630042356,0.299099552520278,1,"TVP23B","trans-golgi network vesicle protein 23 homolog B",NA,NA
"ENSBTAG00000048872",0.80524199044967,-3.12687348302164,2.04828824101289,-1.03836630042356,0.299099552520278,1,"HSDL1","hydroxysteroid dehydrogenase like 1","GO:0005739","BP"
