"","x"
"1","ENSBTAG00000017363"
"2","ENSBTAG00000015591"
"3","ENSBTAG00000016169"
"4","ENSBTAG00000030425"
"5","ENSBTAG00000006599"
"6","ENSBTAG00000013303"
"7","ENSBTAG00000009495"
"8","ENSBTAG00000015618"
"9","ENSBTAG00000007390"
"10","ENSBTAG00000033304"
"11","ENSBTAG00000018082"
"12","ENSBTAG00000012180"
"13","ENSBTAG00000011765"
"14","ENSBTAG00000011982"
"15","ENSBTAG00000010667"
"16","ENSBTAG00000013745"
"17","ENSBTAG00000007952"
"18","ENSBTAG00000013320"
"19","ENSBTAG00000039688"
"20","ENSBTAG00000006326"
"21","ENSBTAG00000005448"
"22","ENSBTAG00000026156"
"23","ENSBTAG00000004552"
"24","ENSBTAG00000001592"
"25","ENSBTAG00000032613"
"26","ENSBTAG00000047827"
"27","ENSBTAG00000045785"
"28","ENSBTAG00000012848"
"29","ENSBTAG00000019915"
"30","ENSBTAG00000012046"
"31","ENSBTAG00000000898"
"32","ENSBTAG00000010069"
"33","ENSBTAG00000009047"
"34","ENSBTAG00000003323"
"35","ENSBTAG00000008635"
"36","ENSBTAG00000001105"
"37","ENSBTAG00000001801"
"38","ENSBTAG00000002770"
"39","ENSBTAG00000016819"
"40","ENSBTAG00000009526"
"41","ENSBTAG00000021999"
"42","ENSBTAG00000000163"
"43","ENSBTAG00000005432"
"44","ENSBTAG00000021013"
"45","ENSBTAG00000046307"
"46","ENSBTAG00000011839"
"47","ENSBTAG00000011931"
"48","ENSBTAG00000015209"
"49","ENSBTAG00000007430"
"50","ENSBTAG00000015059"
"51","ENSBTAG00000015318"
"52","ENSBTAG00000007196"
"53","ENSBTAG00000016658"
"54","ENSBTAG00000018823"
"55","ENSBTAG00000024958"
"56","ENSBTAG00000001294"
"57","ENSBTAG00000012412"
"58","ENSBTAG00000005504"
"59","ENSBTAG00000013792"
"60","ENSBTAG00000011786"
"61","ENSBTAG00000018240"
"62","ENSBTAG00000040078"
"63","ENSBTAG00000017819"
"64","ENSBTAG00000020773"
"65","ENSBTAG00000009475"
"66","ENSBTAG00000002779"
"67","ENSBTAG00000006307"
"68","ENSBTAG00000015541"
"69","ENSBTAG00000004305"
"70","ENSBTAG00000004225"
"71","ENSBTAG00000001824"
"72","ENSBTAG00000043565"
"73","ENSBTAG00000008654"
"74","ENSBTAG00000045507"
"75","ENSBTAG00000008739"
"76","ENSBTAG00000005431"
"77","ENSBTAG00000016401"
"78","ENSBTAG00000048906"
"79","ENSBTAG00000023659"
"80","ENSBTAG00000018517"
"81","ENSBTAG00000010180"
"82","ENSBTAG00000021191"
"83","ENSBTAG00000031544"
"84","ENSBTAG00000002566"
"85","ENSBTAG00000013755"
"86","ENSBTAG00000007783"
"87","ENSBTAG00000013235"
"88","ENSBTAG00000001152"
"89","ENSBTAG00000000697"
"90","ENSBTAG00000006550"
"91","ENSBTAG00000021955"
"92","ENSBTAG00000014439"
"93","ENSBTAG00000004344"
"94","ENSBTAG00000017894"
"95","ENSBTAG00000020261"
"96","ENSBTAG00000031509"
"97","ENSBTAG00000010932"
"98","ENSBTAG00000009960"
"99","ENSBTAG00000017450"
"100","ENSBTAG00000003458"
"101","ENSBTAG00000015086"
"102","ENSBTAG00000039446"
"103","ENSBTAG00000043549"
"104","ENSBTAG00000017951"
"105","ENSBTAG00000049993"
"106","ENSBTAG00000003696"
"107","ENSBTAG00000006082"
"108","ENSBTAG00000026278"
"109","ENSBTAG00000013855"
"110","ENSBTAG00000010991"
"111","ENSBTAG00000019940"
"112","ENSBTAG00000010809"
"113","ENSBTAG00000015016"
"114","ENSBTAG00000015290"
"115","ENSBTAG00000015267"
"116","ENSBTAG00000017391"
"117","ENSBTAG00000005275"
"118","ENSBTAG00000006951"
"119","ENSBTAG00000002302"
"120","ENSBTAG00000008462"
"121","ENSBTAG00000040190"
"122","ENSBTAG00000010451"
"123","ENSBTAG00000013982"
"124","ENSBTAG00000008409"
"125","ENSBTAG00000020018"
"126","ENSBTAG00000019289"
"127","ENSBTAG00000008756"
"128","ENSBTAG00000011274"
"129","ENSBTAG00000005524"
"130","ENSBTAG00000003155"
"131","ENSBTAG00000011079"
"132","ENSBTAG00000019203"
"133","ENSBTAG00000049223"
"134","ENSBTAG00000034918"
"135","ENSBTAG00000023744"
"136","ENSBTAG00000007389"
"137","ENSBTAG00000005260"
"138","ENSBTAG00000006160"
"139","ENSBTAG00000016194"
"140","ENSBTAG00000011889"
"141","ENSBTAG00000053443"
"142","ENSBTAG00000004034"
"143","ENSBTAG00000001644"
"144","ENSBTAG00000000507"
"145","ENSBTAG00000003923"
"146","ENSBTAG00000046900"
"147","ENSBTAG00000017007"
"148","ENSBTAG00000013099"
"149","ENSBTAG00000004075"
"150","ENSBTAG00000009506"
"151","ENSBTAG00000000250"
"152","ENSBTAG00000010622"
"153","ENSBTAG00000015549"
"154","ENSBTAG00000052949"
"155","ENSBTAG00000021187"
"156","ENSBTAG00000009812"
"157","ENSBTAG00000020676"
"158","ENSBTAG00000044019"
"159","ENSBTAG00000017616"
"160","ENSBTAG00000046333"
"161","ENSBTAG00000017733"
"162","ENSBTAG00000007622"
"163","ENSBTAG00000001729"
"164","ENSBTAG00000006194"
"165","ENSBTAG00000011562"
"166","ENSBTAG00000006675"
"167","ENSBTAG00000015208"
"168","ENSBTAG00000044208"
"169","ENSBTAG00000021378"
"170","ENSBTAG00000012534"
"171","ENSBTAG00000052600"
"172","ENSBTAG00000020418"
"173","ENSBTAG00000004322"
"174","ENSBTAG00000048257"
"175","ENSBTAG00000008575"
"176","ENSBTAG00000000981"
"177","ENSBTAG00000015131"
"178","ENSBTAG00000008182"
"179","ENSBTAG00000004223"
"180","ENSBTAG00000033545"
"181","ENSBTAG00000043547"
"182","ENSBTAG00000002127"
"183","ENSBTAG00000007039"
"184","ENSBTAG00000015381"
"185","ENSBTAG00000020330"
"186","ENSBTAG00000020852"
"187","ENSBTAG00000053476"
"188","ENSBTAG00000050877"
"189","ENSBTAG00000002082"
"190","ENSBTAG00000015224"
"191","ENSBTAG00000020035"
"192","ENSBTAG00000004004"
"193","ENSBTAG00000022461"
"194","ENSBTAG00000009517"
"195","ENSBTAG00000039028"
"196","ENSBTAG00000014187"
"197","ENSBTAG00000006828"
"198","ENSBTAG00000013929"
"199","ENSBTAG00000049377"
"200","ENSBTAG00000030973"
"201","ENSBTAG00000000604"
"202","ENSBTAG00000039035"
"203","ENSBTAG00000021467"
"204","ENSBTAG00000010644"
"205","ENSBTAG00000016254"
"206","ENSBTAG00000005674"
"207","ENSBTAG00000018073"
"208","ENSBTAG00000008497"
"209","ENSBTAG00000017685"
"210","ENSBTAG00000007125"
"211","ENSBTAG00000040067"
"212","ENSBTAG00000017846"
"213","ENSBTAG00000054059"
"214","ENSBTAG00000021939"
"215","ENSBTAG00000052965"
"216","ENSBTAG00000026963"
"217","ENSBTAG00000003959"
"218","ENSBTAG00000038428"
"219","ENSBTAG00000017298"
"220","ENSBTAG00000010371"
"221","ENSBTAG00000011394"
"222","ENSBTAG00000009177"
"223","ENSBTAG00000002688"
"224","ENSBTAG00000012755"
