"","x"
"1","ENSBTAG00000017363"
"2","ENSBTAG00000006599"
"3","ENSBTAG00000016169"
"4","ENSBTAG00000030425"
"5","ENSBTAG00000013320"
"6","ENSBTAG00000033304"
"7","ENSBTAG00000012180"
"8","ENSBTAG00000015591"
"9","ENSBTAG00000005448"
"10","ENSBTAG00000010667"
"11","ENSBTAG00000015618"
"12","ENSBTAG00000015059"
"13","ENSBTAG00000018082"
"14","ENSBTAG00000009495"
"15","ENSBTAG00000006326"
"16","ENSBTAG00000010069"
"17","ENSBTAG00000032613"
"18","ENSBTAG00000012848"
"19","ENSBTAG00000009047"
"20","ENSBTAG00000011982"
"21","ENSBTAG00000007390"
"22","ENSBTAG00000013303"
"23","ENSBTAG00000001801"
"24","ENSBTAG00000039688"
"25","ENSBTAG00000020261"
"26","ENSBTAG00000020773"
"27","ENSBTAG00000008635"
"28","ENSBTAG00000018240"
"29","ENSBTAG00000047827"
"30","ENSBTAG00000044208"
"31","ENSBTAG00000019940"
