"","x"
"1","CLDN12"
"2","RAB37"
"3","PRSS57"
"4","GRM4"
"5","INHBE"
"6","SH3PXD2A"
"7","BCAM"
"8","MIR193A"
"9","ZNF502"
"10","TCIM"
"11","HRC"
"12","LOC112447087"
"13","SNX24"
"14","BATF3"
"15","IDH1"
"16","ALDH5A1"
"17","TRIM35"
"18","ESRRA"
"19","FOXN1"
"20","ALDH1L2"
"21","SFRP4"
"22","MAP3K6"
"23","GPN3"
"24","SSX2IP"
"25","SLC7A6"
"26","EXOC7"
"27","MLXIPL"
"28","RAB7A"
"29","RSPH14"
"30","LOC507271"
"31","CC2D1B"
"32","EGR1"
"33","FLT3LG"
"34","LOC112446912"
"35","GRID2IP"
"36","LOC101904177"
"37","SUPV3L1"
"38","SPATA46"
"39","LOC515333"
"40","TMEM59"
"41","API5"
"42","DDX21"
"43","DNAJC13"
"44","SRGAP3"
"45","HOMEZ"
"46","SUSD1"
"47","KLHL41"
"48","GRID1"
"49","MTG1"
"50","LOC112442769"
"51","NECTIN2"
"52","TAGLN"
"53","STX6"
"54","EXO5"
"55","MIR4657"
"56","RBBP6"
"57","SLC9A6"
"58","METAP1"
"59","MAPK6"
"60","CLK1"
"61","CYP2S1"
"62","CTIF"
"63","LOC781988"
"64","LOC112444971"
"65","SLC13A2"
"66","ECSCR"
"67","NAV3"
"68","DLC1"
"69","RGS16"
"70","EXOSC8"
"71","ROMO1"
"72","LRRTM2"
"73","ASB12"
"74","AUH"
"75","INO80"
"76","MRPS28"
"77","OPTN"
"78","C5H12orf50"
"79","TIMM22"
"80","PLIN1"
"81","CHD1L"
"82","CAPS"
"83","DDIT3"
"84","PGPEP1"
"85","CRLF3"
"86","MYBL2"
"87","DGAT2L6"
"88","SLC35F6"
"89","HAUS3"
"90","GABARAPL2"
"91","SKP1"
"92","AMACR"
"93","GAMT"
"94","FADS6"
"95","LOC112444380"
"96","PFAS"
"97","HSPA5"
"98","HDAC2"
"99","KLHL24"
"100","PARP6"
"101","HSD11B1"
"102","SERPIND1"
"103",NA
"104","ADSS2"
"105","TMEM253"
"106","TCIM"
"107","SLC35A2"
"108","RARA"
"109","ORMDL3"
"110","SLC35E2"
"111","RCVRN"
"112","DYNC2LI1"
"113","CALCOCO1"
"114","RRM1"
"115","DMAC2L"
"116","APEX2"
"117","PLXNB1"
"118","CDC25B"
"119","SQOR"
"120","SMIM19"
"121","ARSA"
"122","UBXN11"
"123","TOP2B"
"124","PTMS"
"125","CREBRF"
"126","TNK2"
"127","DSC2"
"128","ENO2"
"129","BICDL2"
"130","TMEM150A"
"131","SPIRE1"
"132","S100A4"
"133","LOC112445242"
"134","IFIT2"
"135","YPEL5"
"136","IFI35"
"137","ESM1"
"138","B4GAT1"
"139","LOC112447649"
"140","MEAF6"
"141","COQ7"
"142","SMARCAD1"
"143","TPP2"
"144","LOC112442823"
"145","ID3"
"146","FGF22"
"147","FAM53B"
"148","CCDC106"
"149","ASB6"
"150","DIS3"
"151","PSME2"
"152","LOC112445238"
"153","ROCK1"
"154","HBEGF"
"155","TMEM260"
"156","ORAI3"
"157","TMEM37"
"158","CRTC1"
"159","PAFAH1B2"
"160","MSLN"
"161","FGF13"
"162","CTSD"
"163","CSPP1"
"164","SPECC1"
"165","STK32C"
"166","NHEJ1"
"167","TASOR"
"168","DUSP4"
"169","PRSS23"
"170","OIP5"
"171","ZNF644"
"172","LOC112448918"
"173","TSKS"
"174","TTC6"
"175","SPEF1"
"176","PEX16"
"177","CDH1"
"178","NIBAN1"
"179","HUS1"
"180","FIGN"
"181",NA
"182","PYCR2"
"183","PADI6"
"184","LOC112443641"
"185","INTS6"
"186","PTK6"
"187","CAMK4"
"188",NA
"189","ZBED5"
"190","TCOF1"
"191","ICE2"
"192","ZNF354A"
"193","HECA"
"194","EIF3I"
"195","DPF2"
"196","STIM1"
"197","LOC112443676"
"198","CACYBP"
"199","DISC1"
"200","LOC101906009"
"201","MED10"
"202","DLL1"
"203","IRX3"
"204","KCNG1"
"205","RUNX1"
"206","CNTLN"
"207","TSPO"
"208","NHSL2"
"209","MPRIP"
"210","TNFRSF21"
"211","HIPK4"
"212","NGEF"
"213","PFDN4"
"214","CAPN1"
"215","TRIP6"
"216","OR2AV2"
"217","HOXA10"
"218","RELB"
"219","AAMDC"
"220","RHOJ"
"221","HINFP"
"222","STK38"
"223","PEG3"
"224","MIR2462"
"225","LRP2BP"
"226","TRIM7"
"227","EMC4"
"228","DALRD3"
"229","EPOR"
"230","USP49"
"231","LOC100295951"
"232","CYP4V2"
"233","CPNE3"
"234","ATG5"
"235","DMC1"
"236","ATG2B"
"237","LOC112442791"
"238","PURG"
"239","TFEB"
"240","BBOF1"
"241","RAET1G"
