"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_name","go","ontology"
"ENSBTAG00000017363",2893.17291501041,1.72776365131933,0.0648464042259656,11.222883674218,3.14833821495911e-29,4.65198454642358e-25,"CLDN12","claudin 12","GO:0005923","CC"
"ENSBTAG00000006599",407.439417151757,2.31051574277728,0.124782961864396,10.5023612454514,8.4245976779009e-26,6.22409276443318e-22,NA,NA,NA,NA
"ENSBTAG00000016169",2769.77949867152,1.75502886461592,0.0723078808575477,10.4418613249555,1.59649233016046e-25,7.86325689015032e-22,"PRSS57","serine protease 57",NA,NA
"ENSBTAG00000030425",2092.64337508636,1.63806560193247,0.066697171226189,9.56660665215632,1.10472073404629e-21,4.080838391567e-18,"GRM4","glutamate metabotropic receptor 4",NA,NA
"ENSBTAG00000013320",129.777764401669,3.11989353682633,0.234832905653949,9.02724228924808,1.76052314554815e-19,5.20269799972389e-16,"ESRRA","estrogen related receptor alpha",NA,NA
"ENSBTAG00000033304",274.135986384838,2.19299499520338,0.136884122808959,8.71536428566204,2.8982520648583e-18,7.13742875172438e-15,NA,NA,NA,NA
"ENSBTAG00000012180",271.62893251777,2.31316444407293,0.1512495132607,8.68210690906165,3.88503982324102e-18,8.20076406117275e-15,"LOC112447087","bisphosphoglycerate mutase",NA,NA
"ENSBTAG00000015591",6403.20753534593,1.38829431005001,0.047037025951169,8.25507782854119,1.5180328568781e-16,2.80380668665384e-13,"RAB37","RAB37, member RAS oncogene family",NA,NA
"ENSBTAG00000005448",105.735321779268,2.98874258061712,0.248164630996584,8.01380346841003,1.11214375412171e-15,1.82589290121137e-12,"SFRP4","secreted frizzled related protein 4",NA,NA
"ENSBTAG00000010667",273.236549012968,2.10240074733246,0.140460685292919,7.84846482155124,4.21160719245637e-15,6.22307078757353e-12,"IDH1","isocitrate dehydrogenase (NADP(+)) 1","GO:0000287","BP"
"ENSBTAG00000015618",978.921274552063,1.60192570842546,0.0804777764811527,7.47940282080762,7.46610967682171e-14,1.00290215077016e-10,"MIR193A","microRNA mir-193a",NA,NA
"ENSBTAG00000015059",37.2977741650065,3.88851181101426,0.452939518314814,6.37725721474055,1.80287531259986e-10,2.21994046824796e-07,"LOC112442769","U6 spliceosomal RNA",NA,NA
"ENSBTAG00000018082",790.765217000743,1.53450898021446,0.0843336117051019,6.33803022789459,2.3272117816192e-10,2.64514471424656e-07,"HRC","histidine rich calcium binding protein",NA,NA
"ENSBTAG00000009495",1766.50900037404,1.39845813117171,0.0640125091945635,6.22469164520031,4.8250402775899e-10,5.09248536726203e-07,NA,NA,NA,NA
"ENSBTAG00000006326",299.335357705063,1.71790844583006,0.120741278080906,5.94584103498561,2.75040969353e-09,2.70933690877328e-06,NA,NA,NA,NA
"ENSBTAG00000010069",208.423560726978,1.86714605242644,0.148752560395557,5.82945295274619,5.5609371844047e-09,5.13552548979774e-06,NA,NA,NA,NA
"ENSBTAG00000032613",280.479521180243,1.7098914867444,0.127945541442768,5.5483878432915,2.88315742677158e-08,2.50597259635158e-05,"SLC7A6","solute carrier family 7 member 6",NA,NA
"ENSBTAG00000012848",345.93404853992,1.72434975921843,0.131179288762281,5.52183020698546,3.35486608922427e-08,2.75397229635432e-05,"RAB7A","RAB7A, member RAS oncogene family","GO:0000421","BP"
"ENSBTAG00000009047",240.313706624983,1.75632667109244,0.137262503427837,5.5100748726331,3.58681096220971e-08,2.78940625145319e-05,"FLT3LG","fms related receptor tyrosine kinase 3 ligand",NA,NA
"ENSBTAG00000011982",787.541823941967,-1.44156238332161,0.0820957636530297,-5.37862568874845,7.50565743100739e-08,5.54517971002826e-05,NA,NA,NA,NA
